Survey_Year,Major_Category,Uni_Type,Region,Sex,Age,Training_Hours,Training_Helpfulness,Self_Cost,Household_Size,Target_Dropout
2011,2.0,2.0,9.0,2.0,25.583333333333332,120.0,4.0,10.0,5.0,
2011,5.0,2.0,9.0,1.0,26.666666666666668,27.0,4.0,0.0,4.0,
2011,5.0,2.0,9.0,1.0,27.166666666666668,320.0,4.0,0.0,1.0,
2011,2.0,2.0,9.0,2.0,26.0,40.0,4.0,0.0,3.0,
2011,1.0,2.0,9.0,2.0,25.333333333333332,320.0,4.0,0.0,1.0,
2011,4.0,2.0,9.0,1.0,49.083333333333336,40.0,4.0,20.0,4.0,
2011,6.0,2.0,3.0,2.0,24.916666666666668,40.0,4.0,0.0,1.0,
2011,2.0,2.0,3.0,1.0,29.416666666666668,30.0,4.0,0.0,4.0,
2011,4.0,2.0,3.0,1.0,27.916666666666668,24.0,3.0,0.0,1.0,
2011,4.0,2.0,3.0,1.0,28.25,38.0,4.0,10.0,1.0,
2011,3.0,2.0,3.0,1.0,26.916666666666668,6.0,4.0,0.0,4.0,
2011,3.0,2.0,3.0,2.0,24.333333333333332,64.0,3.0,40.0,1.0,
2011,1.0,2.0,3.0,2.0,24.583333333333332,15.0,4.0,0.0,4.0,
2011,1.0,2.0,3.0,2.0,25.166666666666668,100.0,4.0,100.0,3.0,
2011,1.0,2.0,3.0,2.0,25.583333333333332,20.0,5.0,20.0,1.0,
2011,5.0,2.0,14.0,1.0,60.416666666666664,8.0,4.0,5.0,3.0,
2011,5.0,2.0,14.0,1.0,31.0,2.0,4.0,0.0,4.0,
2011,5.0,2.0,14.0,1.0,53.75,40.0,5.0,0.0,5.0,
2011,2.0,2.0,14.0,2.0,25.5,9.0,5.0,6.0,1.0,
2011,2.0,2.0,14.0,1.0,40.0,40.0,5.0,0.0,4.0,
2011,4.0,2.0,15.0,1.0,26.75,6.0,4.0,0.0,1.0,
2011,3.0,2.0,15.0,1.0,26.5,12.0,4.0,0.0,1.0,
2011,4.0,2.0,11.0,1.0,25.75,48.0,5.0,0.0,4.0,
2011,4.0,2.0,11.0,1.0,27.583333333333332,100.0,3.0,0.0,2.0,
2011,4.0,2.0,11.0,1.0,27.5,40.0,5.0,0.0,3.0,
2011,4.0,2.0,11.0,1.0,27.416666666666668,16.0,4.0,0.0,1.0,
2011,4.0,2.0,12.0,1.0,28.5,4.0,4.0,0.0,4.0,
2011,5.0,2.0,12.0,1.0,27.25,280.0,3.0,0.0,1.0,
2011,5.0,2.0,12.0,2.0,24.75,60.0,4.0,160.0,4.0,
2011,1.0,2.0,13.0,1.0,25.583333333333332,20.0,3.0,0.0,4.0,
2011,4.0,2.0,2.0,1.0,27.833333333333332,48.0,4.0,0.0,4.0,
2011,4.0,2.0,2.0,1.0,29.416666666666668,200.0,1.0,0.0,3.0,
2011,4.0,2.0,2.0,2.0,25.916666666666668,26.0,4.0,0.0,1.0,
2011,4.0,2.0,2.0,2.0,25.833333333333332,24.0,4.0,0.0,4.0,
2011,2.0,2.0,2.0,1.0,29.166666666666668,30.0,4.0,0.0,4.0,
2011,5.0,2.0,2.0,2.0,26.0,30.0,3.0,0.0,4.0,
2011,4.0,2.0,2.0,1.0,28.333333333333332,120.0,5.0,0.0,1.0,
2011,4.0,2.0,2.0,2.0,26.083333333333332,40.0,5.0,0.0,1.0,
2011,2.0,2.0,2.0,1.0,28.5,40.0,4.0,0.0,1.0,
2011,2.0,2.0,2.0,2.0,27.25,10.0,3.0,10.0,1.0,
2011,5.0,2.0,2.0,2.0,25.166666666666668,4.0,4.0,0.0,4.0,
2011,7.0,2.0,2.0,2.0,25.0,20.0,3.0,80.0,1.0,
2011,4.0,2.0,1.0,1.0,29.0,40.0,4.0,0.0,2.0,
2011,1.0,2.0,1.0,1.0,27.333333333333332,20.0,4.0,0.0,4.0,
2011,4.0,2.0,13.0,1.0,27.083333333333332,1700.0,2.0,0.0,4.0,
2011,5.0,2.0,13.0,1.0,27.25,160.0,4.0,120.0,1.0,
2011,5.0,2.0,13.0,2.0,23.666666666666668,150.0,2.0,65.0,4.0,
2011,4.0,2.0,14.0,1.0,27.0,960.0,4.0,0.0,3.0,
2011,3.0,2.0,14.0,2.0,24.583333333333332,30.0,4.0,0.0,4.0,
2011,3.0,2.0,14.0,1.0,40.666666666666664,1000.0,4.0,0.0,4.0,
2011,2.0,2.0,14.0,1.0,25.333333333333332,12.0,5.0,0.0,1.0,
2011,1.0,2.0,14.0,2.0,23.75,480.0,4.0,60.0,3.0,
2011,5.0,2.0,6.0,2.0,24.166666666666668,18.0,3.0,0.0,3.0,
2011,3.0,2.0,6.0,2.0,24.833333333333332,140.0,4.0,20.0,4.0,
2011,1.0,2.0,6.0,2.0,24.083333333333332,80.0,3.0,0.0,4.0,
2011,4.0,2.0,12.0,2.0,26.083333333333332,80.0,3.0,0.0,1.0,
2011,4.0,2.0,12.0,1.0,27.083333333333332,50.0,3.0,0.0,4.0,
2011,2.0,2.0,12.0,1.0,29.583333333333332,20.0,4.0,0.0,1.0,
2011,1.0,2.0,12.0,1.0,29.25,30.0,3.0,30.0,2.0,
2011,5.0,2.0,12.0,2.0,25.333333333333332,160.0,4.0,0.0,5.0,
2011,2.0,2.0,16.0,1.0,27.583333333333332,20.0,3.0,0.0,3.0,
2011,7.0,2.0,16.0,2.0,25.916666666666668,288.0,2.0,300.0,3.0,
2011,2.0,2.0,16.0,1.0,27.916666666666668,70.0,4.0,0.0,3.0,
2011,4.0,2.0,16.0,1.0,30.5,120.0,4.0,0.0,1.0,
2011,2.0,2.0,15.0,1.0,28.666666666666668,200.0,5.0,0.0,1.0,
2011,4.0,2.0,4.0,2.0,24.25,5.0,4.0,0.0,1.0,
2011,4.0,2.0,4.0,1.0,25.833333333333332,16.0,4.0,0.0,1.0,
2011,4.0,2.0,4.0,1.0,26.75,140.0,1.0,0.0,1.0,
2011,2.0,2.0,10.0,1.0,27.833333333333332,30.0,5.0,0.0,4.0,
2011,5.0,2.0,10.0,1.0,27.333333333333332,40.0,4.0,0.0,1.0,
2011,5.0,2.0,10.0,1.0,26.5,160.0,5.0,0.0,4.0,
2011,3.0,2.0,10.0,2.0,23.75,30.0,5.0,0.0,4.0,
2011,4.0,2.0,1.0,1.0,27.833333333333332,160.0,5.0,0.0,1.0,
2011,4.0,2.0,5.0,1.0,26.916666666666668,120.0,3.0,10.0,3.0,
2011,2.0,2.0,5.0,1.0,41.583333333333336,120.0,4.0,0.0,4.0,
2011,1.0,2.0,5.0,2.0,25.75,8.0,5.0,0.0,5.0,
2011,2.0,2.0,15.0,1.0,54.5,2.0,4.0,0.0,4.0,
2011,2.0,2.0,5.0,2.0,23.583333333333332,80.0,3.0,120.0,4.0,
2011,1.0,2.0,8.0,2.0,24.916666666666668,600.0,3.0,110.0,4.0,
2011,7.0,2.0,8.0,1.0,30.333333333333332,32.0,3.0,25.0,4.0,
2011,4.0,2.0,1.0,1.0,28.583333333333332,40.0,4.0,0.0,2.0,
2011,4.0,2.0,1.0,1.0,27.833333333333332,40.0,4.0,0.0,4.0,
2011,5.0,2.0,10.0,2.0,25.0,45.0,3.0,0.0,4.0,
2011,6.0,2.0,4.0,2.0,28.166666666666668,120.0,2.0,30.0,6.0,
2011,6.0,2.0,4.0,2.0,23.666666666666668,16.0,4.0,1.0,1.0,
2011,2.0,2.0,8.0,1.0,38.416666666666664,24.0,2.0,0.0,2.0,
2011,4.0,2.0,8.0,1.0,28.0,1000.0,5.0,0.0,3.0,
2011,4.0,2.0,15.0,1.0,27.916666666666668,160.0,4.0,0.0,2.0,
2011,1.0,2.0,15.0,2.0,23.666666666666668,10.0,4.0,0.0,3.0,
2011,1.0,2.0,15.0,2.0,25.416666666666668,20.0,4.0,0.0,6.0,
2011,4.0,2.0,14.0,1.0,26.833333333333332,180.0,4.0,30.0,2.0,
2011,5.0,2.0,2.0,2.0,23.666666666666668,24.0,4.0,0.0,4.0,
2011,4.0,2.0,8.0,1.0,26.75,30.0,4.0,0.0,4.0,
2011,7.0,2.0,14.0,1.0,30.666666666666668,24.0,3.0,40.0,3.0,
2011,2.0,2.0,1.0,2.0,24.583333333333332,4.0,2.0,0.0,4.0,
2011,2.0,2.0,1.0,1.0,29.166666666666668,100.0,4.0,0.0,4.0,
2011,2.0,2.0,1.0,2.0,26.083333333333332,4.0,4.0,0.0,3.0,
2011,4.0,2.0,8.0,1.0,28.083333333333332,160.0,1.0,0.0,1.0,
2011,4.0,2.0,8.0,1.0,27.75,200.0,5.0,0.0,2.0,
2011,4.0,2.0,3.0,1.0,28.166666666666668,36.0,4.0,15.0,1.0,
2011,7.0,2.0,3.0,2.0,23.5,2100.0,5.0,100.0,4.0,
2011,1.0,2.0,3.0,2.0,23.75,270.0,5.0,0.0,4.0,
2011,6.0,2.0,3.0,2.0,26.583333333333332,40.0,4.0,0.0,4.0,
2011,4.0,2.0,1.0,1.0,26.833333333333332,120.0,5.0,0.0,1.0,
2011,4.0,2.0,1.0,2.0,25.583333333333332,16.0,4.0,0.0,3.0,
2011,2.0,2.0,11.0,1.0,28.5,160.0,5.0,0.0,4.0,
2011,4.0,2.0,11.0,2.0,25.0,320.0,5.0,0.0,1.0,
2011,4.0,2.0,9.0,2.0,23.833333333333332,16.0,4.0,0.0,4.0,
2011,3.0,2.0,9.0,1.0,25.75,1000.0,3.0,0.0,1.0,
2011,7.0,2.0,6.0,2.0,42.75,144.0,4.0,0.0,4.0,
2011,5.0,2.0,1.0,1.0,28.333333333333332,40.0,4.0,0.0,1.0,
2011,4.0,2.0,1.0,1.0,27.583333333333332,200.0,3.0,50.0,1.0,
2011,7.0,2.0,10.0,1.0,27.833333333333332,24.0,4.0,35.0,3.0,
2011,4.0,2.0,10.0,1.0,30.083333333333332,800.0,5.0,0.0,3.0,
2011,2.0,2.0,11.0,2.0,23.666666666666668,8.0,3.0,0.0,1.0,
2011,2.0,2.0,11.0,2.0,23.666666666666668,15.0,4.0,0.0,6.0,
2011,1.0,2.0,11.0,2.0,23.666666666666668,16.0,4.0,0.0,3.0,
2011,7.0,2.0,8.0,2.0,25.333333333333332,20.0,4.0,50.0,3.0,
2011,4.0,2.0,11.0,2.0,25.5,640.0,3.0,0.0,4.0,
2011,5.0,2.0,11.0,2.0,24.416666666666668,32.0,3.0,0.0,1.0,
2011,6.0,2.0,11.0,1.0,26.083333333333332,24.0,5.0,0.0,1.0,
2011,2.0,2.0,14.0,1.0,26.25,64.0,3.0,0.0,1.0,
2011,5.0,2.0,14.0,2.0,24.5,100.0,3.0,30.0,1.0,
2011,4.0,2.0,14.0,1.0,28.5,20.0,4.0,0.0,5.0,
2011,4.0,2.0,14.0,2.0,24.5,48.0,5.0,0.0,4.0,
2011,5.0,2.0,14.0,1.0,28.75,40.0,5.0,0.0,1.0,
2011,3.0,2.0,14.0,2.0,23.916666666666668,40.0,4.0,0.0,1.0,
2011,2.0,2.0,14.0,2.0,26.083333333333332,160.0,4.0,15.0,3.0,
2011,6.0,2.0,14.0,1.0,28.333333333333332,50.0,5.0,12.0,1.0,
2011,3.0,2.0,14.0,2.0,23.583333333333332,320.0,5.0,0.0,4.0,
2011,4.0,2.0,14.0,1.0,30.416666666666668,40.0,4.0,0.0,1.0,
2011,1.0,2.0,14.0,1.0,28.166666666666668,200.0,5.0,0.0,2.0,
2011,1.0,2.0,14.0,2.0,23.833333333333332,80.0,4.0,100.0,2.0,
2011,2.0,2.0,14.0,2.0,25.083333333333332,24.0,4.0,0.0,1.0,
2011,6.0,2.0,14.0,2.0,24.5,18.0,4.0,10.0,1.0,
2011,1.0,2.0,14.0,2.0,24.583333333333332,6.0,3.0,0.0,3.0,
2011,2.0,2.0,13.0,2.0,30.25,24.0,4.0,0.0,4.0,
2011,7.0,2.0,4.0,2.0,23.916666666666668,8.0,4.0,0.0,3.0,
2011,4.0,2.0,1.0,1.0,28.166666666666668,40.0,4.0,0.0,4.0,
2011,4.0,2.0,14.0,1.0,26.25,50.0,5.0,20.0,1.0,
2011,4.0,2.0,14.0,1.0,28.916666666666668,1500.0,5.0,300.0,4.0,
2011,3.0,2.0,14.0,2.0,25.0,320.0,5.0,48.0,1.0,
2011,1.0,2.0,14.0,2.0,26.166666666666668,180.0,2.0,0.0,4.0,
2011,1.0,2.0,1.0,2.0,26.583333333333332,40.0,4.0,0.0,4.0,
2011,7.0,2.0,2.0,1.0,30.75,400.0,4.0,0.0,1.0,
2011,1.0,2.0,2.0,2.0,25.75,14.0,2.0,0.0,1.0,
2011,4.0,2.0,14.0,1.0,28.166666666666668,4.0,4.0,0.0,2.0,
2011,4.0,2.0,2.0,1.0,28.333333333333332,72.0,4.0,0.0,2.0,
2011,2.0,2.0,2.0,1.0,30.0,160.0,5.0,0.0,2.0,
2011,2.0,2.0,2.0,2.0,24.583333333333332,2.0,4.0,0.0,3.0,
2011,4.0,2.0,2.0,1.0,28.75,30.0,4.0,0.0,1.0,
2011,5.0,2.0,2.0,1.0,29.5,120.0,4.0,0.0,4.0,
2011,4.0,2.0,8.0,1.0,26.416666666666668,20.0,5.0,0.0,1.0,
2011,5.0,2.0,8.0,1.0,27.083333333333332,500.0,4.0,0.0,3.0,
2011,7.0,2.0,8.0,2.0,26.416666666666668,20.0,1.0,30.0,4.0,
2011,2.0,2.0,1.0,1.0,27.75,20.0,4.0,0.0,3.0,
2011,1.0,2.0,1.0,2.0,26.666666666666668,84.0,3.0,0.0,4.0,
2011,1.0,2.0,4.0,1.0,28.916666666666668,40.0,4.0,0.0,3.0,
2011,4.0,2.0,4.0,1.0,28.25,20.0,4.0,0.0,1.0,
2011,4.0,2.0,4.0,1.0,26.666666666666668,16.0,4.0,0.0,5.0,
