iter	RMSE
0	1.723664155
1	1.674888564
2	1.642864012
3	1.622873383
4	1.61442184
5	1.606196333
6	1.601439123
7	1.599067262
8	1.595552919
9	1.593928394
10	1.591158178
11	1.588773991
12	1.587720846
13	1.586008584
14	1.584471943
15	1.581521534
16	1.579141556
17	1.578563198
18	1.577026804
19	1.575617096
20	1.573948957
21	1.570920111
22	1.569102757
23	1.566578551
24	1.564084458
25	1.562554496
26	1.561399246
27	1.559529326
28	1.558533126
29	1.557038619
30	1.552420329
31	1.551251863
32	1.549834244
33	1.54739823
34	1.543495846
35	1.539382895
36	1.536274465
37	1.53591003
38	1.535661554
39	1.533926276
40	1.530224194
41	1.528793336
42	1.526435746
43	1.522597598
44	1.519049604
45	1.516137908
46	1.512588172
47	1.508781684
48	1.508624763
49	1.505732718
50	1.505373735
51	1.500871692
52	1.498065596
53	1.497891996
54	1.495457992
55	1.494446497
56	1.49437891
57	1.492652432
58	1.491735665
59	1.491627583
60	1.491197148
61	1.490183527
62	1.489097543
63	1.485143861
64	1.482622638
65	1.480840078
66	1.47836318
67	1.474892104
68	1.472790861
69	1.470462717
70	1.468447371
71	1.468307089
72	1.467521547
73	1.465455297
74	1.463933511
75	1.462490956
76	1.460081124
77	1.459104944
78	1.456758905
79	1.45591071
80	1.455827154
81	1.454445058
82	1.452723605
83	1.450760469
84	1.448602689
85	1.447406628
86	1.446014777
87	1.444672112
88	1.443117149
89	1.442907017
90	1.440060647
91	1.438434083
92	1.436836193
93	1.435767005
94	1.434031655
95	1.431885578
96	1.430085961
97	1.427872038
98	1.42704818
99	1.425830645
