iter	Passed	Remaining
0	57	5714
1	58	2846
2	58	1890
3	58	1411
4	59	1124
5	59	933
6	59	796
7	60	693
8	60	613
9	61	549
10	61	496
11	61	452
12	62	415
13	62	384
14	62	356
15	63	332
16	63	311
17	64	291
18	64	274
19	64	258
20	65	244
21	65	232
22	65	220
23	66	209
24	66	199
25	66	190
26	67	182
27	67	173
28	67	166
29	68	159
30	68	152
31	68	146
32	69	140
33	69	135
34	70	130
35	70	125
36	70	120
37	71	115
38	71	111
39	71	107
40	72	103
41	72	99
42	72	96
43	73	92
44	73	89
45	73	86
46	74	83
47	74	80
48	74	77
49	75	75
50	75	72
51	75	69
52	76	67
53	76	65
54	76	62
55	77	60
56	77	58
57	77	56
58	78	54
59	78	52
60	78	50
61	79	48
62	79	46
63	79	44
64	80	43
65	80	41
66	80	39
67	81	38
68	81	36
69	81	35
70	82	33
71	82	32
72	82	30
73	83	29
74	83	27
75	83	26
76	84	25
77	84	23
78	84	22
79	85	21
80	85	20
81	85	18
82	86	17
83	86	16
84	86	15
85	87	14
86	87	13
87	87	11
88	88	10
89	88	9
90	88	8
91	88	7
92	89	6
93	89	5
94	89	4
95	90	3
96	90	2
97	90	1
98	91	0
99	91	0
